station_name,measurement_timestamp,air_temperature,wet_bulb_temperature,humidity,rain_intensity,interval_rain,total_rain,precipitation_type,wind_direction,wind_speed,maximum_wind_speed,barometric_pressure,solar_radiation,heading,battery_life,measurement_timestamp_label,measurement_id
63rd Street Weather Station,2017-12-31T23:00:00.000,-15.5,-16.5,55,0,0,25.1,0,293,2.8,5,1012.9,7,354,11.9,12/31/2017 11:00 PM,63rdStreetWeatherStation201712312300
Foster Weather Station,2017-12-31T23:00:00.000,-17.39,,48,,0,,,296,2.6,2.9,1012.9,0,,14.9,12/31/2017 11:00 PM,FosterWeatherStation201712312300
Oak Street Weather Station,2017-12-31T23:00:00.000,-15,-16.1,52,0,0,18.6,0,331,2.1,3.5,1014.3,4,1,12,12/31/2017 11:00 PM,OakStreetWeatherStation201712312300
63rd Street Weather Station,2017-12-31T22:00:00.000,-14.6,-15.7,57,0,0,25.1,0,316,2,2.9,1012.8,7,354,11.8,12/31/2017 10:00 PM,63rdStreetWeatherStation201712312200
Foster Weather Station,2017-12-31T22:00:00.000,-16.5,,46,,0,,,304,4.6,5.2,1012.5,0,,14.9,12/31/2017 10:00 PM,FosterWeatherStation201712312200
Oak Street Weather Station,2017-12-31T22:00:00.000,-14.6,-15.8,49,0,0,18.6,0,325,2.2,4.7,1014,4,1,12,12/31/2017 10:00 PM,OakStreetWeatherStation201712312200
63rd Street Weather Station,2017-12-31T21:00:00.000,-13.8,-15,55,0,0,25.1,0,321,3.8,5.5,1012.6,7,354,11.9,12/31/2017 9:00 PM,63rdStreetWeatherStation201712312100
Foster Weather Station,2017-12-31T21:00:00.000,-15.67,,47,,0,,,312,5.2,5.9,1012.5,0,,14.9,12/31/2017 9:00 PM,FosterWeatherStation201712312100
Oak Street Weather Station,2017-12-31T21:00:00.000,-13.6,-14.9,50,0,0,18.6,0,339,2.8,4.8,1013.7,3,1,11.9,12/31/2017 9:00 PM,OakStreetWeatherStation201712312100
63rd Street Weather Station,2017-12-31T20:00:00.000,-13.2,-14.4,53,0,0,25.1,0,329,4.7,8.7,1012.3,7,354,11.9,12/31/2017 8:00 PM,63rdStreetWeatherStation201712312000
