station_name,measurement_timestamp,solar_radiation,radiation_danger,hour_e,day_e,month_e,year_e,Sensor_Latitude,Sensor_Longitude
63rd Street Weather Station,2015-12-31 16:00:00,19,Safe,16,31,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-31 15:00:00,95,Safe,15,31,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-31 06:00:00,5,Safe,6,31,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-30 20:00:00,5,Safe,20,30,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-30 16:00:00,13,Safe,16,30,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-29 23:00:00,5,Safe,23,29,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-28 15:00:00,10,Safe,15,28,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-28 13:00:00,21,Safe,13,28,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-28 05:00:00,4,Safe,5,28,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-28 01:00:00,4,Safe,1,28,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-27 16:00:00,12,Safe,16,27,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-27 14:00:00,101,Safe,14,27,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-27 07:00:00,4,Safe,7,27,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-27 00:00:00,4,Safe,0,27,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-26 21:00:00,4,Safe,21,26,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-26 12:00:00,30,Safe,12,26,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-25 22:00:00,4,Safe,22,25,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-25 17:00:00,4,Safe,17,25,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-25 12:00:00,429,Slightly dangerous,12,25,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-24 14:00:00,113,Safe,14,24,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-24 08:00:00,46,Safe,8,24,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-24 00:00:00,3,Safe,0,24,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-23 11:00:00,11,Safe,11,23,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-23 10:00:00,42,Safe,10,23,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-23 05:00:00,4,Safe,5,23,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-23 01:00:00,4,Safe,1,23,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-22 03:00:00,4,Safe,3,22,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-21 21:00:00,4,Safe,21,21,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-21 16:00:00,5,Safe,16,21,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-21 08:00:00,20,Safe,8,21,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-21 05:00:00,4,Safe,5,21,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-20 20:00:00,3,Safe,20,20,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-20 19:00:00,4,Safe,19,20,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-20 17:00:00,3,Safe,17,20,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-20 11:00:00,302,Moderately safe,11,20,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-19 15:00:00,190,Safe,15,19,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-18 06:00:00,5,Safe,6,18,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-18 02:00:00,5,Safe,2,18,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-17 21:00:00,5,Safe,21,17,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-17 18:00:00,5,Safe,18,17,12,2015,41.780992,-87.572619
63rd Street Weather Station,2015-12-17 17:00:00,4,Safe,17,17,12,2015,41.780992,-87.572619
Foster Weather Station,2015-12-31 05:00:00,0,Safe,5,31,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-30 17:00:00,0,Safe,17,30,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-30 08:00:00,7,Safe,8,30,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-30 06:00:00,0,Safe,6,30,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-30 05:00:00,0,Safe,5,30,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-30 01:00:00,0,Safe,1,30,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-29 16:00:00,6,Safe,16,29,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-29 07:00:00,0,Safe,7,29,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-28 08:00:00,6,Safe,8,28,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-28 07:00:00,0,Safe,7,28,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-27 19:00:00,0,Safe,19,27,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-27 14:00:00,122,Safe,14,27,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-27 09:00:00,17,Safe,9,27,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-27 08:00:00,8,Safe,8,27,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-27 06:00:00,0,Safe,6,27,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-26 04:00:00,0,Safe,4,26,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-26 00:00:00,0,Safe,0,26,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-25 18:00:00,0,Safe,18,25,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-25 16:00:00,4,Safe,16,25,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-23 20:00:00,0,Safe,20,23,12,2015,41.976464,-87.647525
Foster Weather Station,2015-12-23 02:00:00,0,Safe,2,23,12,2015,41.976464,-87.647525
